2026-07-15 15:53:04,269 | INFO     | object_mapper | 
2026-07-15 15:53:22,268 | INFO     | object_mapper | Request: GET /
2026-07-15 15:53:22,273 | INFO     | object_mapper | Response: GET / -> 404 (5.0ms)
2026-07-15 15:53:22,345 | INFO     | object_mapper | Request: GET /favicon.ico
2026-07-15 15:53:22,347 | INFO     | object_mapper | Response: GET /favicon.ico -> 404 (2.5ms)
2026-07-15 15:53:27,395 | INFO     | object_mapper | Request: GET /docs
2026-07-15 15:53:27,396 | INFO     | object_mapper | Response: GET /docs -> 200 (1.5ms)
2026-07-15 15:53:27,563 | INFO     | object_mapper | Request: GET /openapi.json
2026-07-15 15:53:27,566 | INFO     | object_mapper | Response: GET /openapi.json -> 200 (3.3ms)
2026-07-15 15:54:54,844 | INFO     | object_mapper | Request: POST /map
2026-07-15 15:54:54,883 | ERROR    | object_mapper | Validation error on POST /map: [{'type': 'json_invalid', 'loc': ('body', 99), 'msg': 'JSON decode error', 'input': {}, 'ctx': {'error': 'Expecting property name enclosed in double quotes'}}]
2026-07-15 15:54:54,886 | INFO     | object_mapper | Response: POST /map -> 422 (41.3ms)
2026-07-15 15:56:54,605 | INFO     | object_mapper | 
2026-07-15 15:56:56,169 | INFO     | object_mapper | Request: GET /docs
2026-07-15 15:56:56,173 | INFO     | object_mapper | Response: GET /docs -> 200 (2.0ms)
2026-07-15 15:56:56,459 | INFO     | object_mapper | Request: GET /openapi.json
2026-07-15 15:56:56,465 | INFO     | object_mapper | Response: GET /openapi.json -> 200 (5.5ms)
2026-07-15 15:57:07,324 | INFO     | object_mapper | Request: POST /map
2026-07-15 15:57:07,350 | INFO     | object_mapper | Mapping payload with keys=['id', 'first_name', 'last_name', 'salary', 'email']
2026-07-15 15:57:07,352 | INFO     | object_mapper | Mapped result: {'id': 101, 'first_name': 'John', 'last_name': 'Doe', 'salary': 75000, 'email': 'john.doe@example.com', 'name': 'John Doe'}
2026-07-15 15:57:07,352 | INFO     | object_mapper | Response: POST /map -> 200 (27.5ms)
2026-07-15 15:58:39,964 | INFO     | object_mapper | Request: GET /docs
2026-07-15 15:58:39,967 | INFO     | object_mapper | Response: GET /docs -> 200 (2.9ms)
2026-07-15 15:58:40,071 | INFO     | object_mapper | Request: GET /openapi.json
2026-07-15 15:58:40,071 | INFO     | object_mapper | Response: GET /openapi.json -> 200 (0.0ms)
2026-07-15 15:58:53,086 | INFO     | object_mapper | Request: POST /map
2026-07-15 15:58:53,100 | INFO     | object_mapper | Mapping payload with keys=['id', 'first_name', 'last_name', 'salary', 'email', 'name']
2026-07-15 15:58:53,100 | INFO     | object_mapper | Mapped result: {'id': 101, 'name': 'John Doe', 'email': 'john.doe@example.com'}
2026-07-15 15:58:53,113 | INFO     | object_mapper | Response: POST /map -> 200 (27.1ms)
2026-07-15 16:02:03,739 | INFO     | object_mapper | Request: POST /map
2026-07-15 16:02:03,757 | INFO     | object_mapper | Mapping payload with keys=['id', 'first_name', 'last_name', 'salary', 'email']
2026-07-15 16:02:03,758 | INFO     | object_mapper | Mapped result: {'id': 454, 'name': 'sarvesh varan', 'email': 's.varan@example.com'}
2026-07-15 16:02:03,760 | INFO     | object_mapper | Response: POST /map -> 200 (20.9ms)
2026-07-15 16:21:38,083 | INFO     | object_mapper | 
2026-07-15 16:21:54,665 | INFO     | object_mapper | Request: GET /docs
2026-07-15 16:21:54,665 | INFO     | object_mapper | Response: GET /docs -> 200 (0.0ms)
2026-07-15 16:21:54,794 | INFO     | object_mapper | Request: GET /openapi.json
2026-07-15 16:21:54,803 | INFO     | object_mapper | Response: GET /openapi.json -> 200 (10.4ms)
2026-07-15 16:22:05,007 | INFO     | object_mapper | Request: POST /map
2026-07-15 16:22:05,028 | INFO     | object_mapper | Mapping payload with keys=['id', 'first_name', 'last_name', 'salary', 'email']
2026-07-15 16:22:05,028 | INFO     | object_mapper | Mapped result: {'id': 101, 'name': 'John Doe', 'email': 'john.doe@example.com'}
2026-07-15 16:22:05,030 | INFO     | object_mapper | Response: POST /map -> 200 (23.4ms)
